fecha ;hora;temperatura;Humedad Relativa;PresionAtmosferica;RadiacionSolar;Velocidad;Potencia
1/1/2016;0:00:07;30.017;71.095;1015.61;0.074;1.703;-366.627
1/1/2016;0:01:06;29.989;71.328;1015.61;0.165;0.859;-384.633
1/1/2016;0:02:06;29.983;71.232;1015.61;0.292;2.633;-394.124
1/1/2016;0:03:06;29.921;71.333;1015.61;0.467;2.016;-398.277
1/1/2016;0:04:06;29.86;71.74;1015.61;0.48;1.789;-400.013
1/1/2016;0:05:07;29.859;71.764;1015.61;0.712;2.258;-400.688
1/1/2016;0:06:06;29.849;71.877;1015.61;0.701;1.727;-400.914
1/1/2016;0:07:06;29.852;71.665;1015.61;0.883;1.312;-400.968
1/1/2016;0:08:06;29.845;71.527;1015.61;0.88;1.578;-401.137
1/1/2016;0:09:06;29.815;71.66;1015.61;0.854;2.164;-401.115
1/1/2016;0:10:07;29.767;71.81;1015.61;0.99;1.141;-401.205
1/1/2016;0:11:06;29.722;71.974;1015.61;1.093;1.828;-401.324
1/1/2016;0:12:06;29.679;72.168;1015.61;1.409;2.289;-401.256
1/1/2016;0:13:06;29.65;72.119;1015.61;1.639;2.57;-401.291
1/1/2016;0:14:06;29.628;72.127;1015.61;1.883;2.852;-401.402
1/1/2016;0:15:07;29.59;72.371;1015.61;2.349;1.914;-401.509
1/1/2016;0:16:06;29.554;72.574;1015.61;3.245;2.312;-401.494
1/1/2016;0:17:06;29.527;72.509;1015.61;4.203;1.695;-401.509
1/1/2016;0:18:06;29.494;72.809;1015.61;5.282;1.828;-401.537
1/1/2016;0:19:06;29.464;72.975;1015.61;6.502;1.594;-401.544
1/1/2016;0:20:07;29.448;73.143;1015.61;7.741;1.664;-401.515
1/1/2016;0:21:06;29.432;72.855;1015.61;8.956;2.688;-401.549
1/1/2016;0:22:06;29.389;72.765;1015.59;9.965;2.016;-40.162
1/1/2016;0:23:06;29.368;72.779;1015.59;11.443;1.312;-401.641
1/1/2016;0:24:06;29.358;72.823;1015.59;12.8;2.273;-40.162
1/1/2016;0:25:07;29.36;72.524;1015.59;13.903;2.852;-401.572
1/1/2016;0:26:06;29.347;71.415;1015.59;15.141;3.211;-40.164
1/1/2016;0:27:06;29.32;70.932;1015.59;16.428;3.008;-401.504
1/1/2016;0:28:06;29.305;70.801;1015.59;17.523;2.672;-401.592
1/1/2016;0:29:06;29.305;70.322;1015.59;18.939;2.672;-401.632
1/1/2016;0:30:06;29.283;70.234;1015.59;19.901;2.523;-401.682
1/1/2016;0:31:06;29.264;70.123;1015.59;20.459;0.852;-401.701
